Complaint_ID,Date,State,Hospital_Type,Department,Complaint_Category,Severity,Resolved
CMP100039,2024-06-21,West Bengal,District Hospital,Maternity,Unclean wards,Low,Yes
CMP100040,2024-02-22,West Bengal,District Hospital,Outpatient,Test delays,High,No
CMP100041,2024-02-17,Uttar Pradesh,PHC,Surgery,Lack of communication,Low,No
CMP100042,2024-07-13,Karnataka,District Hospital,Surgery,Rude staff,Medium,Yes
CMP100043,2024-02-19,Maharashtra,Medical College Hospital,Diagnostics,Rude staff,Medium,No
CMP100044,2024-07-02,Uttar Pradesh,CHC,Pharmacy,Unavailability of medicine,Medium,Yes
CMP100045,2024-06-25,Karnataka,Medical College Hospital,Pharmacy,Unclean wards,Medium,Yes
CMP100046,2024-11-05,Karnataka,District Hospital,Surgery,Billing issues,Low,No
CMP100047,2024-05-15,Karnataka,CHC,Pharmacy,Rude staff,High,Yes
CMP100048,2024-01-23,Rajasthan,Medical College Hospital,Pediatrics,Billing issues,Medium,No
CMP100049,2024-08-23,Karnataka,District Hospital,Pharmacy,Rude staff,Low,No
CMP100050,2024-10-01,Karnataka,District Hospital,Diagnostics,Billing issues,High,Yes
CMP100051,2024-03-04,Uttar Pradesh,District Hospital,Pediatrics,Long wait time,High,Yes
CMP100052,2024-07-12,Tamil Nadu,PHC,Maternity,Unclean wards,High,No
CMP100053,2024-02-10,Rajasthan,PHC,Diagnostics,Long wait time,High,No
CMP100054,2024-10-09,Tamil Nadu,PHC,Pediatrics,Long wait time,Low,No
CMP100055,2024-05-30,Uttar Pradesh,CHC,Maternity,Unclean wards,High,Yes
CMP100056,2024-11-17,West Bengal,Medical College Hospital,Pharmacy,Test delays,Low,Yes
CMP100057,2024-11-12,Tamil Nadu,CHC,Surgery,Lack of communication,Medium,Yes
CMP100058,2024-07-04,Maharashtra,CHC,Outpatient,Billing issues,Medium,Yes
CMP100059,2024-10-22,Maharashtra,District Hospital,Surgery,Long wait time,Low,Yes
CMP100060,2024-04-08,West Bengal,District Hospital,Surgery,Unclean wards,Low,No
CMP100061,2024-12-26,Uttar Pradesh,CHC,Outpatient,Billing issues,High,Yes
CMP100062,2024-02-05,Maharashtra,Medical College Hospital,Diagnostics,Unclean wards,High,Yes
CMP100063,2024-01-24,Rajasthan,PHC,Pediatrics,Unclean wards,Low,No
CMP100064,2024-12-04,Uttar Pradesh,CHC,Surgery,Lack of communication,High,No
CMP100065,2024-04-26,Maharashtra,CHC,Maternity,Lack of communication,Low,Yes
CMP100066,2024-05-28,Bihar,Medical College Hospital,Pharmacy,Test delays,High,Yes
CMP100067,2024-02-10,West Bengal,Medical College Hospital,Pharmacy,Lack of communication,Low,Yes
CMP100068,2024-04-29,West Bengal,CHC,Diagnostics,Long wait time,Low,No
CMP100069,2024-02-21,West Bengal,District Hospital,Diagnostics,Unclean wards,High,No
CMP100070,2024-07-13,Uttar Pradesh,District Hospital,Diagnostics,Unclean wards,Low,Yes
CMP100071,2024-05-22,Rajasthan,CHC,Emergency,Rude staff,Low,Yes
CMP100072,2024-08-20,Karnataka,District Hospital,Maternity,Long wait time,Medium,Yes
CMP100073,2024-11-21,West Bengal,Medical College Hospital,Emergency,Billing issues,Low,No
CMP100074,2024-07-05,Rajasthan,PHC,Pharmacy,Lack of communication,High,No
CMP100075,2024-03-24,Maharashtra,Medical College Hospital,Surgery,Long wait time,Medium,Yes
CMP100076,2024-07-08,Bihar,PHC,Emergency,Test delays,High,No
CMP100077,2024-06-30,Uttar Pradesh,CHC,Surgery,Test delays,Medium,Yes
CMP100078,2024-04-17,Maharashtra,CHC,Outpatient,Unclean wards,High,Yes
CMP100079,2024-12-09,Karnataka,PHC,Pharmacy,Rude staff,Medium,Yes
CMP100080,2024-05-16,Maharashtra,District Hospital,Emergency,Rude staff,High,Yes
CMP100081,2024-12-25,Rajasthan,CHC,Pharmacy,Unavailability of medicine,Low,No
CMP100082,2024-12-15,West Bengal,PHC,Outpatient,Unavailability of medicine,Low,No
CMP100083,2024-11-27,Bihar,District Hospital,Outpatient,Rude staff,High,No
CMP100084,2024-02-06,Rajasthan,PHC,Pediatrics,Test delays,Medium,Yes
CMP100085,2024-11-07,Rajasthan,CHC,Pharmacy,Long wait time,Medium,No
CMP100086,2024-11-21,West Bengal,CHC,Emergency,Long wait time,Low,Yes
CMP100087,2024-03-28,Tamil Nadu,Medical College Hospital,Pediatrics,Unclean wards,Low,No
CMP100088,2024-09-30,West Bengal,PHC,Pediatrics,Test delays,Low,No
CMP100089,2024-05-05,Tamil Nadu,District Hospital,Maternity,Unavailability of medicine,Medium,No
CMP100090,2024-03-24,West Bengal,CHC,Pediatrics,Rude staff,Medium,No
CMP100091,2024-08-24,Bihar,Medical College Hospital,Pharmacy,Test delays,Low,No
CMP100092,2024-07-13,Rajasthan,Medical College Hospital,Surgery,Unclean wards,Low,Yes
CMP100093,2024-05-18,Bihar,District Hospital,Surgery,Lack of communication,Medium,Yes
CMP100094,2024-11-23,Uttar Pradesh,CHC,Surgery,Billing issues,Medium,Yes
CMP100095,2024-12-18,West Bengal,Medical College Hospital,Surgery,Test delays,Medium,Yes
CMP100096,2024-10-12,Rajasthan,District Hospital,Surgery,Billing issues,High,Yes
CMP100097,2024-04-22,Tamil Nadu,District Hospital,Outpatient,Long wait time,Low,No
CMP100098,2024-12-16,Uttar Pradesh,PHC,Emergency,Unclean wards,Low,Yes
CMP100099,2024-06-15,Maharashtra,PHC,Emergency,Unclean wards,Medium,Yes
CMP100100,2024-01-29,Bihar,CHC,Diagnostics,Lack of communication,Medium,No
CMP100101,2024-04-27,Uttar Pradesh,Medical College Hospital,Pharmacy,Rude staff,High,No
CMP100102,2024-01-17,Rajasthan,Medical College Hospital,Outpatient,Lack of communication,Medium,Yes
CMP100103,2024-06-10,Bihar,PHC,Outpatient,Test delays,Medium,Yes
CMP100104,2024-07-24,Uttar Pradesh,CHC,Pharmacy,Unclean wards,High,No
CMP100105,2024-05-17,Maharashtra,Medical College Hospital,Pharmacy,Rude staff,High,No
CMP100106,2024-02-03,Maharashtra,District Hospital,Surgery,Lack of communication,Low,No
CMP100107,2024-04-18,Karnataka,District Hospital,Outpatient,Lack of communication,Low,No
CMP100108,2024-10-17,Tamil Nadu,District Hospital,Outpatient,Unavailability of medicine,High,Yes
CMP100109,2024-06-10,Rajasthan,District Hospital,Pharmacy,Test delays,Medium,Yes
CMP100110,2024-04-18,Karnataka,PHC,Pediatrics,Unclean wards,Low,No
CMP100111,2024-12-01,Tamil Nadu,CHC,Pharmacy,Test delays,Low,Yes
CMP100112,2024-09-12,Maharashtra,District Hospital,Emergency,Test delays,Medium,Yes
CMP100113,2024-07-21,Uttar Pradesh,District Hospital,Surgery,Long wait time,Medium,No
CMP100114,2024-11-25,Rajasthan,Medical College Hospital,Diagnostics,Lack of communication,Medium,Yes
CMP100115,2024-08-22,West Bengal,PHC,Surgery,Test delays,Medium,No
CMP100116,2024-03-14,Bihar,Medical College Hospital,Outpatient,Long wait time,High,No
CMP100117,2024-05-15,Maharashtra,Medical College Hospital,Maternity,Unclean wards,High,Yes
CMP100118,2024-03-12,Maharashtra,Medical College Hospital,Emergency,Test delays,Medium,Yes
CMP100119,2024-05-06,Rajasthan,District Hospital,Maternity,Unavailability of medicine,Low,Yes
CMP100120,2024-10-14,Rajasthan,CHC,Pharmacy,Billing issues,Medium,Yes
CMP100121,2024-10-02,Uttar Pradesh,PHC,Pediatrics,Long wait time,Low,Yes
CMP100122,2024-05-14,Rajasthan,District Hospital,Diagnostics,Unavailability of medicine,Low,Yes
CMP100123,2024-10-26,West Bengal,PHC,Outpatient,Unclean wards,High,Yes
CMP100124,2024-08-07,Maharashtra,District Hospital,Diagnostics,Lack of communication,High,No
CMP100125,2024-10-25,Maharashtra,CHC,Pediatrics,Unavailability of medicine,Low,No
CMP100126,2024-07-23,Uttar Pradesh,CHC,Maternity,Test delays,Low,Yes
CMP100127,2024-07-04,Rajasthan,PHC,Maternity,Billing issues,Medium,Yes
CMP100128,2024-04-22,Maharashtra,Medical College Hospital,Surgery,Billing issues,Medium,Yes
CMP100129,2024-03-11,Tamil Nadu,District Hospital,Pediatrics,Billing issues,Medium,Yes
CMP100130,2024-09-17,Tamil Nadu,PHC,Emergency,Lack of communication,Low,Yes
CMP100131,2024-09-09,West Bengal,Medical College Hospital,Surgery,Rude staff,Medium,Yes
CMP100132,2024-02-16,Tamil Nadu,CHC,Maternity,Lack of communication,Low,No
CMP100133,2024-01-25,Tamil Nadu,District Hospital,Pharmacy,Test delays,Medium,Yes
CMP100134,2024-02-26,Maharashtra,CHC,Emergency,Long wait time,Low,Yes
CMP100135,2024-03-19,Bihar,District Hospital,Maternity,Billing issues,High,Yes
CMP100136,2024-11-17,Tamil Nadu,Medical College Hospital,Pediatrics,Unavailability of medicine,High,No
CMP100137,2024-03-22,West Bengal,District Hospital,Surgery,Test delays,Low,No
CMP100138,2024-12-14,Tamil Nadu,Medical College Hospital,Diagnostics,Long wait time,High,Yes
CMP100139,2024-08-04,Maharashtra,District Hospital,Emergency,Billing issues,Low,No
CMP100140,2024-11-01,Rajasthan,PHC,Pediatrics,Test delays,High,Yes
CMP100141,2024-02-02,Karnataka,CHC,Emergency,Unavailability of medicine,High,Yes
CMP100142,2024-07-16,Maharashtra,District Hospital,Pediatrics,Long wait time,High,No
CMP100143,2024-07-14,Rajasthan,District Hospital,Pharmacy,Long wait time,High,Yes
CMP100144,2024-11-01,Uttar Pradesh,CHC,Pharmacy,Unclean wards,Medium,No
CMP100145,2024-08-27,West Bengal,District Hospital,Pediatrics,Unavailability of medicine,Medium,No
CMP100146,2024-09-27,Tamil Nadu,CHC,Diagnostics,Unclean wards,Medium,Yes
CMP100147,2024-05-08,Uttar Pradesh,Medical College Hospital,Diagnostics,Billing issues,High,No
CMP100148,2024-10-10,Tamil Nadu,PHC,Pediatrics,Long wait time,High,No
CMP100149,2024-01-06,Karnataka,PHC,Emergency,Unavailability of medicine,High,No
CMP100150,2024-12-14,Rajasthan,CHC,Pediatrics,Unavailability of medicine,Medium,Yes
CMP100151,2024-02-28,Bihar,PHC,Pediatrics,Rude staff,High,Yes
CMP100152,2024-12-15,Karnataka,CHC,Outpatient,Test delays,High,Yes
CMP100153,2024-10-01,Maharashtra,PHC,Maternity,Billing issues,Medium,Yes
CMP100154,2024-05-16,Maharashtra,District Hospital,Maternity,Test delays,Medium,Yes
CMP100155,2024-11-24,Uttar Pradesh,District Hospital,Pediatrics,Long wait time,Low,Yes
CMP100156,2024-06-23,Uttar Pradesh,PHC,Surgery,Billing issues,Medium,Yes
CMP100157,2024-02-27,Maharashtra,Medical College Hospital,Emergency,Test delays,High,No
CMP100158,2024-05-30,West Bengal,PHC,Maternity,Lack of communication,High,Yes
CMP100159,2024-08-10,Maharashtra,District Hospital,Pediatrics,Rude staff,Low,Yes
CMP100160,2024-03-21,Maharashtra,PHC,Maternity,Rude staff,High,Yes
CMP100161,2024-08-20,Tamil Nadu,District Hospital,Diagnostics,Unavailability of medicine,Medium,No
CMP100162,2024-01-02,Karnataka,Medical College Hospital,Emergency,Rude staff,Medium,No
CMP100163,2024-05-14,West Bengal,Medical College Hospital,Pharmacy,Billing issues,High,Yes
CMP100164,2024-09-13,Tamil Nadu,PHC,Surgery,Long wait time,Low,No
CMP100165,2024-04-01,Bihar,District Hospital,Emergency,Test delays,High,Yes
CMP100166,2024-09-16,West Bengal,Medical College Hospital,Pharmacy,Unclean wards,High,No
CMP100167,2024-02-24,Tamil Nadu,CHC,Surgery,Test delays,High,No
CMP100168,2024-11-16,Maharashtra,PHC,Surgery,Lack of communication,High,No
CMP100169,2024-06-01,Tamil Nadu,CHC,Outpatient,Billing issues,Medium,Yes
CMP100170,2024-11-23,Uttar Pradesh,PHC,Pharmacy,Lack of communication,High,No
CMP100171,2024-09-16,West Bengal,District Hospital,Surgery,Test delays,Medium,No
CMP100172,2024-11-07,Rajasthan,District Hospital,Maternity,Rude staff,High,Yes
CMP100173,2024-04-11,Maharashtra,CHC,Outpatient,Lack of communication,Medium,No
CMP100174,2024-03-19,Karnataka,District Hospital,Outpatient,Test delays,Low,No
CMP100175,2024-07-10,Tamil Nadu,District Hospital,Emergency,Lack of communication,Medium,Yes
CMP100176,2024-03-23,Maharashtra,District Hospital,Maternity,Rude staff,Low,Yes
CMP100177,2024-10-03,West Bengal,CHC,Maternity,Unavailability of medicine,Low,Yes
CMP100178,2024-09-28,Rajasthan,District Hospital,Diagnostics,Unavailability of medicine,High,No
CMP100179,2024-01-01,Uttar Pradesh,Medical College Hospital,Diagnostics,Unavailability of medicine,Medium,Yes
CMP100180,2024-11-02,Uttar Pradesh,PHC,Pediatrics,Billing issues,Medium,No
CMP100181,2024-06-14,West Bengal,Medical College Hospital,Surgery,Test delays,High,Yes
CMP100182,2024-09-07,West Bengal,CHC,Surgery,Unclean wards,High,No
CMP100183,2024-01-10,Tamil Nadu,CHC,Surgery,Unavailability of medicine,High,Yes
CMP100184,2024-02-27,Maharashtra,District Hospital,Emergency,Long wait time,Low,No
CMP100185,2024-07-04,Karnataka,Medical College Hospital,Outpatient,Long wait time,High,No
CMP100186,2024-06-06,Rajasthan,CHC,Diagnostics,Unavailability of medicine,High,No
CMP100187,2024-05-02,West Bengal,PHC,Pharmacy,Unavailability of medicine,Medium,Yes
CMP100188,2024-01-30,West Bengal,CHC,Pediatrics,Unclean wards,Low,Yes
CMP100189,2024-05-03,Bihar,Medical College Hospital,Diagnostics,Unclean wards,Low,Yes
CMP100190,2024-10-17,Uttar Pradesh,PHC,Outpatient,Billing issues,High,No
CMP100191,2024-02-10,Bihar,PHC,Outpatient,Billing issues,High,Yes
CMP100192,2024-02-13,Rajasthan,District Hospital,Pharmacy,Lack of communication,Medium,Yes
CMP100193,2024-09-05,Karnataka,PHC,Emergency,Long wait time,High,No
CMP100194,2024-02-05,West Bengal,District Hospital,Diagnostics,Unclean wards,Medium,Yes
CMP100195,2024-09-29,Rajasthan,District Hospital,Surgery,Test delays,High,No
CMP100196,2024-03-05,Tamil Nadu,CHC,Maternity,Billing issues,Low,Yes
CMP100197,2024-03-06,Uttar Pradesh,CHC,Emergency,Test delays,Low,No
CMP100198,2024-12-03,Bihar,District Hospital,Surgery,Lack of communication,Low,No
CMP100199,2024-08-31,Uttar Pradesh,Medical College Hospital,Diagnostics,Billing issues,High,No
CMP100200,2024-10-08,Bihar,District Hospital,Pharmacy,Unavailability of medicine,High,Yes
CMP100201,2024-03-25,Rajasthan,Medical College Hospital,Emergency,Unclean wards,Medium,Yes
CMP100202,2024-05-15,West Bengal,PHC,Diagnostics,Billing issues,Low,No
CMP100203,2024-09-27,Maharashtra,PHC,Surgery,Unavailability of medicine,Medium,Yes
CMP100204,2024-11-06,Maharashtra,PHC,Diagnostics,Lack of communication,High,Yes
CMP100205,2024-08-04,Tamil Nadu,District Hospital,Pediatrics,Test delays,Medium,No
CMP100206,2024-04-18,Karnataka,Medical College Hospital,Maternity,Test delays,High,Yes
CMP100207,2024-10-03,Uttar Pradesh,District Hospital,Outpatient,Lack of communication,Low,No
CMP100208,2024-12-19,Karnataka,PHC,Pediatrics,Long wait time,High,Yes
CMP100209,2024-04-12,Bihar,CHC,Outpatient,Rude staff,Low,Yes
CMP100210,2024-12-31,West Bengal,PHC,Diagnostics,Unclean wards,Medium,Yes
CMP100211,2024-06-08,Tamil Nadu,PHC,Surgery,Long wait time,Medium,No
CMP100212,2024-07-23,Maharashtra,CHC,Outpatient,Long wait time,High,No
CMP100213,2024-12-09,Maharashtra,Medical College Hospital,Diagnostics,Unclean wards,High,Yes
CMP100214,2024-11-28,Tamil Nadu,PHC,Diagnostics,Rude staff,Medium,No
CMP100215,2024-07-10,Rajasthan,Medical College Hospital,Maternity,Unavailability of medicine,Low,No
CMP100216,2024-08-12,Uttar Pradesh,CHC,Surgery,Long wait time,Low,No
CMP100217,2024-09-21,Karnataka,CHC,Outpatient,Long wait time,High,Yes
CMP100218,2024-08-19,Bihar,CHC,Surgery,Rude staff,Low,Yes
CMP100219,2024-03-02,Karnataka,District Hospital,Surgery,Unavailability of medicine,Medium,Yes
CMP100220,2024-05-06,Maharashtra,Medical College Hospital,Maternity,Long wait time,Medium,No
CMP100221,2024-04-25,Tamil Nadu,District Hospital,Surgery,Test delays,High,No
CMP100222,2024-02-02,Maharashtra,CHC,Outpatient,Rude staff,High,Yes
CMP100223,2024-06-22,West Bengal,PHC,Outpatient,Unclean wards,Low,No
CMP100224,2024-01-11,Maharashtra,District Hospital,Emergency,Rude staff,Medium,No
CMP100225,2024-10-28,Bihar,PHC,Pharmacy,Lack of communication,Medium,No
CMP100226,2024-10-10,Uttar Pradesh,District Hospital,Pediatrics,Rude staff,Low,Yes
CMP100227,2024-04-27,Uttar Pradesh,Medical College Hospital,Diagnostics,Billing issues,High,No
CMP100228,2024-10-28,West Bengal,PHC,Pharmacy,Test delays,High,Yes
CMP100229,2024-04-22,Bihar,District Hospital,Maternity,Long wait time,High,Yes
CMP100230,2024-01-04,Tamil Nadu,CHC,Surgery,Unavailability of medicine,High,Yes
CMP100231,2024-02-06,Karnataka,CHC,Emergency,Unclean wards,High,Yes
CMP100232,2024-12-28,Tamil Nadu,Medical College Hospital,Emergency,Test delays,High,No
CMP100233,2024-11-19,Karnataka,Medical College Hospital,Maternity,Billing issues,High,No
CMP100234,2024-01-31,Uttar Pradesh,District Hospital,Diagnostics,Rude staff,High,Yes
CMP100235,2024-04-27,Maharashtra,CHC,Diagnostics,Unclean wards,Low,No
CMP100236,2024-02-04,Rajasthan,PHC,Pharmacy,Unavailability of medicine,Medium,Yes
CMP100237,2024-01-17,Maharashtra,District Hospital,Pharmacy,Unclean wards,Medium,No
CMP100238,2024-06-18,West Bengal,District Hospital,Outpatient,Unclean wards,Medium,No
CMP100239,2024-02-06,Tamil Nadu,CHC,Pharmacy,Test delays,High,Yes
CMP100240,2024-09-20,Bihar,Medical College Hospital,Pharmacy,Test delays,High,No
CMP100241,2024-05-01,Karnataka,PHC,Surgery,Long wait time,High,No
CMP100242,2024-05-22,Maharashtra,Medical College Hospital,Maternity,Unavailability of medicine,High,No
CMP100243,2024-12-08,West Bengal,District Hospital,Emergency,Rude staff,Low,No
CMP100244,2024-09-05,Tamil Nadu,District Hospital,Pediatrics,Long wait time,High,No
CMP100245,2024-04-19,Bihar,CHC,Pharmacy,Long wait time,Medium,No
CMP100246,2024-10-03,Uttar Pradesh,Medical College Hospital,Outpatient,Lack of communication,High,Yes
CMP100247,2024-03-08,Bihar,District Hospital,Pharmacy,Lack of communication,High,No
CMP100248,2024-10-19,Rajasthan,District Hospital,Surgery,Rude staff,Low,Yes
CMP100249,2024-10-22,Uttar Pradesh,Medical College Hospital,Pediatrics,Lack of communication,Low,No
CMP100250,2024-08-30,Tamil Nadu,CHC,Pediatrics,Billing issues,Medium,No
CMP100251,2024-05-04,Bihar,CHC,Diagnostics,Test delays,High,No
CMP100252,2024-08-30,West Bengal,PHC,Surgery,Unavailability of medicine,High,Yes
CMP100253,2024-07-27,Tamil Nadu,PHC,Outpatient,Unclean wards,Low,Yes
CMP100254,2024-04-07,Uttar Pradesh,PHC,Diagnostics,Billing issues,Medium,Yes
CMP100255,2024-02-18,Rajasthan,Medical College Hospital,Emergency,Unavailability of medicine,Medium,Yes
CMP100256,2024-02-19,West Bengal,PHC,Pediatrics,Test delays,Low,Yes
CMP100257,2024-12-03,Rajasthan,PHC,Outpatient,Test delays,Low,Yes
CMP100258,2024-08-08,Maharashtra,Medical College Hospital,Outpatient,Lack of communication,High,Yes
CMP100259,2024-06-30,West Bengal,PHC,Maternity,Unavailability of medicine,Medium,Yes
CMP100260,2024-08-04,Maharashtra,CHC,Pharmacy,Unclean wards,Medium,No
CMP100261,2024-07-29,West Bengal,District Hospital,Outpatient,Billing issues,Low,No
CMP100262,2024-08-27,Uttar Pradesh,CHC,Pediatrics,Test delays,Low,Yes
CMP100263,2024-01-28,Karnataka,CHC,Maternity,Test delays,Low,No
CMP100264,2024-12-10,Karnataka,District Hospital,Pediatrics,Billing issues,Medium,Yes
CMP100265,2024-11-30,Maharashtra,CHC,Emergency,Lack of communication,Low,No
CMP100266,2024-11-26,Maharashtra,District Hospital,Emergency,Billing issues,Medium,No
CMP100267,2024-02-20,Rajasthan,CHC,Maternity,Unclean wards,Low,Yes
CMP100268,2024-02-01,Bihar,Medical College Hospital,Emergency,Unclean wards,Medium,No
CMP100269,2024-07-25,West Bengal,Medical College Hospital,Outpatient,Unavailability of medicine,Low,Yes
CMP100270,2024-06-22,West Bengal,PHC,Surgery,Billing issues,Medium,Yes
CMP100271,2024-02-25,West Bengal,Medical College Hospital,Outpatient,Rude staff,High,Yes
CMP100272,2024-05-07,West Bengal,District Hospital,Pediatrics,Lack of communication,High,No
CMP100273,2024-04-08,Bihar,PHC,Pediatrics,Unavailability of medicine,Medium,No
CMP100274,2024-04-07,Rajasthan,CHC,Pediatrics,Rude staff,High,Yes
CMP100275,2024-10-01,Maharashtra,Medical College Hospital,Pharmacy,Lack of communication,High,Yes
CMP100276,2024-08-17,Karnataka,PHC,Emergency,Unavailability of medicine,High,No
CMP100277,2024-03-12,Bihar,Medical College Hospital,Pharmacy,Rude staff,Medium,Yes
CMP100278,2024-08-04,Uttar Pradesh,PHC,Maternity,Unclean wards,Medium,Yes
CMP100279,2024-04-03,Bihar,District Hospital,Pediatrics,Unavailability of medicine,High,Yes
CMP100280,2024-05-22,Rajasthan,District Hospital,Emergency,Unavailability of medicine,Medium,Yes
CMP100281,2024-08-24,Bihar,CHC,Pharmacy,Lack of communication,High,No
CMP100282,2024-05-07,Bihar,PHC,Diagnostics,Lack of communication,Medium,Yes
CMP100283,2024-02-08,Rajasthan,District Hospital,Diagnostics,Long wait time,Medium,No
CMP100284,2024-08-14,Tamil Nadu,CHC,Emergency,Rude staff,High,Yes
CMP100285,2024-10-08,Uttar Pradesh,PHC,Pharmacy,Unavailability of medicine,Medium,No
CMP100286,2024-02-20,Maharashtra,CHC,Outpatient,Unavailability of medicine,High,No
CMP100287,2024-01-26,Karnataka,District Hospital,Maternity,Unclean wards,Medium,No
CMP100288,2024-11-29,Karnataka,CHC,Surgery,Rude staff,Low,Yes
CMP100289,2024-10-03,Maharashtra,PHC,Outpatient,Billing issues,Low,No
CMP100290,2024-01-08,Tamil Nadu,Medical College Hospital,Outpatient,Rude staff,High,Yes
CMP100291,2024-02-17,Rajasthan,District Hospital,Surgery,Test delays,Low,No
CMP100292,2024-05-01,Karnataka,PHC,Surgery,Billing issues,Medium,Yes
CMP100293,2024-03-26,Bihar,PHC,Pediatrics,Unavailability of medicine,High,Yes
CMP100294,2024-07-27,Karnataka,CHC,Pharmacy,Rude staff,Medium,No
CMP100295,2024-09-05,Uttar Pradesh,District Hospital,Surgery,Rude staff,Low,No
CMP100296,2024-09-03,Uttar Pradesh,Medical College Hospital,Diagnostics,Lack of communication,High,No
CMP100297,2024-04-19,Maharashtra,Medical College Hospital,Surgery,Test delays,High,No
CMP100298,2024-07-24,Tamil Nadu,CHC,Maternity,Test delays,High,No
CMP100299,2024-01-31,West Bengal,District Hospital,Outpatient,Test delays,Low,Yes
CMP100300,2024-03-25,West Bengal,Medical College Hospital,Maternity,Lack of communication,High,Yes
CMP100301,2024-07-13,Tamil Nadu,District Hospital,Maternity,Rude staff,Low,No
CMP100302,2024-01-02,Karnataka,CHC,Maternity,Rude staff,Medium,Yes
CMP100303,2024-07-18,Tamil Nadu,District Hospital,Emergency,Rude staff,Medium,No
CMP100304,2024-05-15,Rajasthan,District Hospital,Diagnostics,Long wait time,Low,Yes
CMP100305,2024-08-20,Tamil Nadu,District Hospital,Surgery,Long wait time,High,No
CMP100306,2024-05-26,Rajasthan,CHC,Maternity,Unavailability of medicine,Low,No
CMP100307,2024-08-04,Karnataka,CHC,Surgery,Billing issues,High,Yes
CMP100308,2024-12-22,Uttar Pradesh,CHC,Emergency,Rude staff,Medium,No
CMP100309,2024-10-11,Bihar,Medical College Hospital,Pharmacy,Unclean wards,Low,Yes
CMP100310,2024-12-04,Maharashtra,PHC,Outpatient,Unavailability of medicine,High,No
CMP100311,2024-09-06,West Bengal,District Hospital,Emergency,Unavailability of medicine,Medium,No
